organisation_1,organisation_2,organisation_3,trans_type,trans_range,origin_country,origin_site,origin_longitude,origin_latitude,capture_date,departure_time,destination_country,destination_site,destination_longitude,destination_latitude,release_time,species,total_individuals,males,females,notes
Government of Senegal,,,founder,extralimital,cmr,,12.7328,5.57,01-01-71,,sen,Niokola-Koba National Park,-12.9601,12.9886,,northern_kordofan,7,,,"all subsequently died; assumed historically Kordofan, out of range. Malyjurkova et al. 2013"
Big Game Parks,,Giraffe Conservation Foundation,founder,range,swz,KaMsholo,31.9416,-26.9786,01-01-22,,swz,Mnjoli Game Reserve,,,,southern_southafrican,5,,,KaMsholo (old Nisela lodge) / Umfomoti Ranch (Mnjoli)
Big Game Parks,,Giraffe Conservation Foundation,augmentation,range,swz,KaMsholo,31.9416,-26.9786,01-01-22,,swz,Panata Ranch,,,,southern_southafrican,2,,,KaMsholo (old Nisela lodge)
Uganda Wildlife Authority,Kenya Wildlife Service,,augmentation,range,ken,Lake Nakuru National Park,36.1211,-0.38,,,uga,Kidepo Valley National Park ,33.75179365,3.830215418,,northern_nubian,3,1,2,"Kalema, G. (1998)"
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-79,,ken,Girafffe Centre,36.7443,-1.3763,,northern_nubian,3,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-67,,ken,Maralal National Sanctuary,,,,northern_nubian,11,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-77,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,26,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Yonder Flower Farm,,,,northern_nubian,7,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Ruma National Park,,,,northern_nubian,27,5,22,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Soy Ranch,,,01-01-83,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,17,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-84,,ken,Mount Elgon National Park,,,,northern_nubian,21,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-80,,ken,Kitale Farm,,,,northern_nubian,10,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Soy Ranch,,,01-01-93,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,2,,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-95,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,7,3,4,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-97,,uga,Kidepo Valley National Park,33.75179365,3.830215418,,northern_nubian,3,1,2,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Lake Nakuru National Park,36.1211,-0.38,01-01-02,,ken,Kigio Wildlife Conservancy,36.3934,-0.5675,,northern_nubian,9,,,Muneza et al. (2024)
Kenya Wildlife Service,,,founder,extralimital,ken,Giraffe Centre,36.7443,-1.3763,,,ken,Haller Nature Park,39.7177,-4.015,,northern_nubian,4,,,1984-1992. Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-98,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,1,,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-03,,ken,Soysambu Wildlife Conservancy,36.2344,-0.4066,,northern_nubian,3,,3,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-08,,ken,Lake Nakuru National Park,36.1211,-0.38,,northern_nubian,2,,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-07,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,2,1,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-11,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,1,1,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-15,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,1,1,,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-18,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,1,2,Muneza et al. (2024)
Kenya Wildlife Service,,,augmentation,extralimital,ken,Giraffe Centre,36.7443,-1.3763,01-01-19,,ken,Mwea National Reserve,37.61733,-0.8233,,northern_nubian,3,2,1,Muneza et al. (2024)
