event_datetime,details_girsam_iso,details_girsam_site,details_girsam_origin,latitude,longitude,details_girsam_age,details_girsam_sex,details_girsam_type,details_girsam_smpid,details_girsam_subid,details_girsam_status,details_girsam_species,details_girsam_notes,details_girsam_smpid2
2023-01-01T07:00:00Z,bwa,Ngangane Reserve,biopsy,,,ad,m,tissue,Ngan7,Giraffe origin Namibia,collected,southern_southafrican,,
2023-05-16T08:10:00Z,bwa,Mokolodi ,biopsy,-24.73833541,25.80711955,ad,m,tissue,Moko1,Dark bull,collected,southern_southafrican,,
2023-05-16T08:10:00Z,bwa,Mokolodi ,biopsy,-24.73833541,25.80711955,ad,f,tissue,Moko2,,collected,southern_southafrican,,
2023-05-16T08:10:00Z,bwa,Mokolodi ,biopsy,-24.73833541,25.80711955,ad,f,tissue,Moko3,,collected,southern_southafrican,,
2023-05-16T08:10:00Z,bwa,Mokolodi ,biopsy,-24.73833541,25.80711955,ad,m,tissue,Moko4,Very dark bull,collected,southern_southafrican,,
2023-05-15T08:50:00Z,bwa,Phuduhudu Hunting Lodge,biopsy,-25.32319047,25.60801779,sa,m,tissue,Phu 1,,collected,southern_southafrican,,
2023-05-15T08:50:00Z,bwa,Phuduhudu Hunting Lodge,biopsy,-25.32319047,25.60801779,ad,f,tissue,Phu 2,"Giraffe originall from Ghanzi, Botswana",collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,biopsy,-21.418108,27.708622,ad,m,tissue,Ngan1,"Possibly from Namibia
",collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,biopsy,-21.418108,27.708622,ad,f,tissue,Ngan2,"Possibly from Namibia
",collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,biopsy,-21.418108,27.708622,ad,f,tissue,Ngan3,"Possibly from Namibia
",collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,biopsy,-21.418108,27.708622,ca,u,tissue,Ngan4,"Possible hybrid
",collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,carcass,-21.418108,27.708622,ad,f,tissue,Ngan5,Giraffe origin Namibia,collected,southern_southafrican,,
2023-01-01T11:44:00Z,bwa,Ngangane Reserve,biopsy,-21.418108,27.708622,ad,m,tissue,Ngan6,Giraffe origin Namibia,collected,southern_southafrican,,
2023-11-01T12:15:00Z,bwa,Thabantle Wildlife Estate,biopsy,-25.11942198,25.67501909,ad,f,tissue,Thab2,,collected,southern_southafrican,,
2023-11-01T12:15:00Z,bwa,Thabantle Wildlife Estate,biopsy,-25.11942198,25.67501909,ad,m,tissue,Thab3,,collected,southern_southafrican,,
2023-11-01T12:15:00Z,bwa,Thabantle Wildlife Estate,biopsy,-25.11942198,25.67501909,sa,f,tissue,Thab4,,collected,southern_southafrican,,
2023-11-03T09:13:00Z,bwa,Khutse/Central Kalahari Game Reserve,biopsy,-23.430074,24.401202,ad,f,tissue,Khut1,,collected,southern_southafrican,,
2023-11-03T09:13:00Z,bwa,Khutse/Central Kalahari Game Reserve,carcass,-23.59999,24.093501,ad,f,tissue,Khut2,,collected,southern_southafrican,,
2023-11-03T09:13:00Z,bwa,Khutse/Central Kalahari Game Reserve,biopsy,-23.34338,24.48443,sa,m,tissue,Khut3,,collected,southern_southafrican,,
2023-11-06T07:04:00Z,bwa,Tautona Lodge,biopsy,-21.70476676,21.70183649,sa,f,tissue,Taut1,,collected,southern_southafrican,,
2023-11-14T10:49:00Z,bwa,Bokamoso Safaris ,biopsy,-21.25485471,22.74737939,ad,m,tissue,Boka1,,collected,southern_southafrican,,
2023-11-01T12:15:00Z,bwa,Thabantle Wildlife Estate,carcass,-25.11942198,25.67501909,ad,m,tissue,Thab1,Dead sample died from broken leg,collected,southern_southafrican,,
2023-04-19T11:46:00Z,bwa,Deception Valley,biopsy,-20.9201,23.684119,ad,f,tissue,Dece1,,collected,southern_southafrican,,
2023-04-19T11:46:00Z,bwa,Deception Valley,biopsy,-20.9201,23.684119,ad,m,tissue,Dece2,,collected,southern_southafrican,,
2023-04-19T11:46:00Z,bwa,Deception Valley,biopsy,-20.9201,23.684119,ad,m,tissue,Dece3,,collected,southern_southafrican,,
2023-04-19T11:46:00Z,bwa,Deception Valley,biopsy,-20.9201,23.684119,ad,f,tissue,Dece4,,collected,southern_southafrican,,
2023-04-19T11:46:00Z,bwa,Deception Valley,carcass,-20.9201,23.684119,ad,m,tissue,Dece5,"Dead/salted skin. DVL/CKGR.
",collected,southern_southafrican,,
2023-04-09T11:41:00Z,bwa,Dinaka,biopsy,-20.948661,23.373316,ad,f,tissue,Dina1,,collected,southern_southafrican,,
2023-04-09T11:41:00Z,bwa,Dinaka,biopsy,-20.948661,23.373316,sa,m,tissue,Dina2,,collected,southern_southafrican,,
2023-04-09T11:41:00Z,bwa,Dinaka,biopsy,-20.948661,23.373316,ad,m,tissue,Dina3,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,f,tissue,Khwa1,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,sa,m,tissue,Khwa2,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,f,tissue,Khwa3,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,sa,m,tissue,Khwa4,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,m,tissue,Khwa5,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,m,tissue,Khwa6,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,sa,u,tissue,Khwa7,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,m,tissue,Khwa8,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,ad,f,tissue,Khwa9,,collected,southern_southafrican,,
2023-02-01T05:54:00Z,bwa,Khwai Private Reserve,biopsy,-19.13311,23.596992,sa,m,tissue,Khwa10,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,f,tissue,Limp1,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,m,tissue,Limp2,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,m,tissue,Limp3,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,f,tissue,Limp4,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,m,tissue,Limp5,,collected,southern_southafrican,,
2023-01-01T11:18:00Z,bwa,Limpopo Lipadi,biopsy,-22.52831,28.57194,ad,m,tissue,Limp6,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,ad,m,tissue,Lots1,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,sa,f,tissue,Lots2,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,sa,f,tissue,Lots3,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,ad,f,tissue,Lots4,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,ad,f,tissue,Lots5,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,ad,m,tissue,Lots6,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Lotsane,biopsy,-22.7,28.16667,sa,m,tissue,Lots7,"Samples collected by vet Eric
",collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash1,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash2,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash3,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,sa,m,tissue,Mash4,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash5,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash6,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash7,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,sa,f,tissue,Mash8,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,sa,m,tissue,Mash9,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash10,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash11,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash12,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash13,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash14,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash15,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash16,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash17,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash18,,collected,southern_southafrican,,
2023-01-01T11:13:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,m,tissue,Mash19,,collected,southern_southafrican,,
2023-01-01T11:20:00Z,bwa,Stevensford Game Reserve,biopsy,-22.85742,27.98746,sa,m,tissue,Stev1,,collected,southern_southafrican,,
2023-01-01T11:20:00Z,bwa,Stevensford Game Reserve,biopsy,-22.85742,27.98746,sa,f,tissue,Stev2,,collected,southern_southafrican,,
2023-01-01T11:20:00Z,bwa,Stevensford Game Reserve,biopsy,-22.85742,27.98746,ad,f,tissue,Stev3,,collected,southern_southafrican,,
2023-01-01T11:20:00Z,bwa,Stevensford Game Reserve,biopsy,-22.85742,27.98746,sa,m,tissue,Stev4,,collected,southern_southafrican,,
2023-01-01T11:20:00Z,bwa,Mashatu,biopsy,-22.21261,29.13726,ad,f,tissue,Mash20,,collected,southern_southafrican,,
2023-12-18T14:22:00Z,bwa,Meno a Kwena Lodge,carcass,-20.323771,24.320259,,m,tissue,Meno1,,collected,southern_southafrican,,
2023-12-18T14:22:00Z,bwa,Meno a Kwena Lodge,carcass,-20.323771,24.320259,,m,tissue,Meno2,,collected,southern_southafrican,,
2023-12-18T14:22:00Z,bwa,Meno a Kwena Lodge,carcass,-20.323771,24.320259,,f,tissue,Meno3,,collected,southern_southafrican,,
2024-04-05T07:49:00Z,bwa,NG33,carcass,-19.50688292,23.64526625,ad,m,tissue,Ng33-1,Dead male sample relatively fresh kill sample from upper neck,collected,southern_southafrican,,
2024-05-14T08:06:00Z,bwa,NG29,biopsy,-19.654115,22.86566167,ad,f,tissue,NG291,,collected,southern_southafrican,,
2024-05-14T08:06:00Z,bwa,NG29,biopsy,-19.654115,22.86566167,sa,m,tissue,NG292,,collected,southern_southafrican,,
2024-05-14T08:06:00Z,bwa,NG29,biopsy,-19.654115,22.86566167,ad,m,tissue,NG293,,collected,southern_southafrican,,
2024-05-15T09:19:00Z,bwa,NG30,biopsy,-19.73193667,22.95704167,sa,m,tissue,NG301,,collected,southern_southafrican,,
2024-05-15T09:19:00Z,bwa,NG30,biopsy,-19.73193667,22.95704167,ad,m,tissue,NG302,,collected,southern_southafrican,,
2024-04-23T11:40:00Z,bwa,Central Tuli Game Reserve,biopsy,-22.30133016,28.87098535,ad,m,tissue,CTGR1,,collected,southern_southafrican,,
2024-04-23T11:40:00Z,bwa,Central Tuli Game Reserve,biopsy,-22.30133016,28.87098535,ad,m,tissue,CTGR2,Lekkerpoet pans,collected,southern_southafrican,,
2024-04-23T11:40:00Z,bwa,Central Tuli Game Reserve,biopsy,-22.30133016,28.87098535,ad,m,tissue,CTGR3,Lekkerpoet pans,collected,southern_southafrican,,
2024-04-23T11:40:00Z,bwa,Central Tuli Game Reserve,biopsy,-22.30133016,28.87098535,ad,m,tissue,CTGR4,Farm Mopani near Limpopo river,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.448294,24.531364,ad,f,tissue,Makg1,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.395888,24.52051,sa,f,tissue,Makg2,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.39589024,24.520519,sa,f,tissue,Makg3,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.383578,24.516162,ad,m,tissue,Makg4,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.187879,24.337429,ad,m,tissue,Makg5,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.187034,24.363786,ad,f,tissue,Makg6,,collected,southern_southafrican,,
2024-06-26T11:21:00Z,bwa,Makgadi kgadi National Park,biopsy,-20.186214,24.449669,ad,f,tissue,Makg7,,collected,southern_southafrican,,
2024-06-28T14:23:00Z,bwa,Orapa Game Park,carcass,-21.30694539,25.31163916,ad,m,tissue,Orap1,,collected,southern_southafrican,,
2024-06-28T14:23:00Z,bwa,Orapa Game Park,biopsy,-21.30694539,25.31163916,ad,f,tissue,Orap2,,collected,southern_southafrican,,
2024-06-28T14:23:00Z,bwa,Orapa Game Park,biopsy,-21.30694539,25.31163916,ad,m,tissue,Orap3,,collected,southern_southafrican,,
2024-06-28T14:23:00Z,bwa,Orapa Game Park,biopsy,-21.30694539,25.31163916,ad,m,tissue,Orap4,,collected,southern_southafrican,,
2024-06-28T14:23:00Z,bwa,Orapa Game Park,biopsy,-21.30694539,25.31163916,ad,m,tissue,Orap5,,collected,southern_southafrican,,
2024-05-14T08:06:00Z,bwa,NG29,biopsy,-19.654115,22.86566167,ad,f,tissue,NG294,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.353312,22.689103,ad,f,tissue,Xig1,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.353312,22.6892,ad,m,tissue,Xig2,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.357647,22.703141,sa,f,tissue,Xig3,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.330751,22.683139,ad,f,tissue,Xig4,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.327024,22.684167,ad,m,tissue,Xig5,,collected,southern_southafrican,,
2025-03-17T18:19:00Z,bwa,Moremi Game Reserve,biopsy,-19.32702,22.68416,ad,m,tissue,Xig6,,collected,southern_southafrican,,
2025-06-21T13:56:00Z,bwa,Central Kalahari Game Reserve,biopsy,-21.27219672,23.48763708,ad,m,tissue,CKGR1,,collected,southern_southafrican,,
2025-06-21T13:56:00Z,bwa,Central Kalahari Game Reserve,biopsy,-21.27219672,23.48763708,ad,m,tissue,CKGR2,,collected,southern_southafrican,,
