date,country,gir_species,gir_sex,gir_age,mortality_cause,notes,longitude,latitude
22-07-25 8:47,ago,southern_angolan,f,sa,unnatural_immobilisation,,22.913,-17.575
19-12-25 8:33,ken,reticulated,u,u,natural_disease,,36.735065,-1.340622
16-10-25 8:06,ken,masai_masai,m,ad,unnatural_fencing,Giraffe broke legs crossing a fence and had to be euthanized ,35.417903,-1.281112
02-12-25 12:44,nam,southern_angolan,f,ad,natural_predation,Suspected lion predation: lions feeding\nReported by Leeurante staff,15.16,-19.233888
15-11-25 10:46,nam,southern_angolan,f,ad,natural_predation,,13.189872,-18.832365
13-11-25 15:03,nam,southern_angolan,m,ad,natural_other,Died,13.114305,-19.177887
20-10-25 8:54,nam,southern_angolan,f,ad,unnatural_immobilisation,,16.071634,-19.217682
01-08-25 12:24,nam,southern_angolan,m,ca,natural_predation,Predation by hyena,12.614725,-18.697838
25-07-25 11:31,nam,southern_angolan,u,ad,natural_predation,,13.054404,-19.381367
05-07-25 11:34,nam,southern_angolan,m,ad,natural_other,HSBM026,12.88402,-18.633174
01-07-25 11:36,nam,southern_angolan,u,ad,natural_predation,,13.050038,-19.38468
29-10-25 7:48,tza,masai_masai,a,ad,unnatural_powerline,Electrocution by low-hanging powerlines,38.79762,-5.937
14-08-24 14:08,tza,masai_masai,u,ad,natural_predation,Killed by a group of lions,38.74097,-5.928302
14-11-24 10:06,zmb,masai_luangwa,m,ad,natural_disease,Observed two days ago with apparent blindness - recorded as disease event on 10 Nov 2024,31.381838,-13.470558
11-10-24 11:38,zmb,masai_luangwa,m,ad,unnatural_powerline,Electocution - power line,31.744483,13.150676
20-11-24 6:00,zmb,masai_luangwa,m,ad,unnatural_powerline,Electocution - power line,31.81905,-13.10253
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
31-12-24 8:19,ken,reticulated,u,u,unnatural_poaching,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, ",39.91083582,0.506207711
25-08-25 8:00,ken,masai_masai,m,u,unnatural_other,"Likely stress? The cause is not certain - giraffe were being herded out of a fenced area (SGN's support), but the two that died appeared very weak and were not able to walk far"", ",36.79385,-2.29726
25-08-25 8:00,ken,masai_masai,m,u,unnatural_other,"Likely stress? The cause is not certain - giraffe were being herded out of a fenced area (SGN's support), but the two that died appeared very weak and were not able to walk far"", ",36.79385,-2.29726
14-08-25 7:07,ken,masai_masai,m,u,unnatural_poaching,"Official record from KWS was that the 2 giraffe were caught in the fence but it is assumed forced entanglement for poaching. Both giraffe were wearing SavannahTracking tail units, units were previously damaged/destroyed and straps removed",36.860567,-2.383549
14-08-25 7:07,ken,masai_masai,m,u,unnatural_poaching,"Official record from KWS was that the 2 giraffe were caught in the fence but it is assumed forced entanglement for poaching. Both giraffe were wearing SavannahTracking tail units, units were previously damaged/destroyed and straps removed",36.860567,-2.383549
22-08-25 14:35,ken,masai_masai,m,u,unnatural_immobilisation,"GCF01292_1866. Upon release after short road translocation, he fell when exitig the vehicle. KWS later euthanised him after reporting he was not walking well",36.78153268,-1.356714236
13-07-25 6:34,ken,masai_masai,u,ca,natural_predation,Killed by lions,35.279829,-1.037653
19-06-25 5:39,ken,masai_masai,f,ad,natural_predation,,35.224449,-1.068361
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
01-09-24 8:22,ken,reticulated,u,u,unnatural_poaching,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517",39.78428814,-0.668146238
