event_datetime,latitude,longitude,details_mortality_cause,details_gir_species,details_gir_sex,details_gir_age,details_country,details_notes
2025-07-22T07:47:00Z,-17.575,22.913,unnatural_immobilisation,southern_angolan,f,sa,ago,
2025-12-19T05:33:00Z,-1.340622,36.735065,natural_disease,reticulated,u,u,ken,
2025-10-16T05:06:00Z,-1.281112,35.417903,unnatural_fencing,masai_masai,m,ad,ken,Giraffe broke legs crossing a fence and had to be euthanized 
2025-12-02T10:44:00Z,-19.233888,15.16,natural_predation,southern_angolan,f,ad,nam,Suspected lion predation: lions feeding\nReported by Leeurante staff
2025-11-15T08:46:00Z,-18.832365,13.189872,natural_predation,southern_angolan,f,ad,nam,
2025-11-13T13:03:00Z,-19.177887,13.114305,natural_other,southern_angolan,m,ad,nam,Died
2025-10-20T06:54:00Z,-19.217682,16.071634,unnatural_immobilisation,southern_angolan,f,ad,nam,
2025-08-01T10:24:00Z,-18.697838,12.614725,natural_predation,southern_angolan,m,ca,nam,Predation by hyena
2025-07-25T09:31:00Z,-19.381367,13.054404,natural_predation,southern_angolan,u,ad,nam,
2025-07-05T09:34:00Z,-18.633174,12.88402,natural_other,southern_angolan,m,ad,nam,HSBM026
2025-07-01T09:36:00Z,-19.38468,13.050038,natural_predation,southern_angolan,u,ad,nam,
2025-10-29T04:48:00Z,-5.937,38.79762,unnatural_powerline,masai_masai,a,ad,tza,Electrocution by low-hanging powerlines
2024-08-14T11:08:00Z,-5.928302,38.74097,natural_predation,masai_masai,u,ad,tza,Killed by a group of lions
2024-11-14T08:06:00Z,-13.470558,31.381838,natural_disease,masai_luangwa,m,ad,zmb,Observed two days ago with apparent blindness - recorded as disease event on 10 Nov 2024
2024-10-11T09:38:00Z,13.150676,31.744483,unnatural_powerline,masai_luangwa,m,ad,zmb,Electocution - power line
2024-11-20T04:00:00Z,-13.10253,31.81905,unnatural_powerline,masai_luangwa,m,ad,zmb,Electocution - power line
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
