event_datetime,latitude,longitude,details_mortality_cause,details_gir_species,details_gir_sex,details_gir_age,details_country,details_notes,giraffe_id
2023-11-03T12:50:15Z,-19.222695,15.108698,natural_predation,southern_angolan,f,ad,nam,skull and skin sample collected,
2022-12-09T12:53:24Z,-19.285095,15.159318,natural_predation,southern_angolan,m,ad,nam,"sleleton and skin collected, at EHCC. Unknown COD, poss. predation. COD <3 months",
2024-02-29T07:30:00Z,-19.310296,15.312492,natural_predation,southern_angolan,u,u,nam,,
2023-12-21T06:15:00Z,-19.310551,15.273966,unknown,southern_angolan,f,ad,nam,UKF006. Samples: skin & tail hair,
2023-10-17T13:30:09Z,-19.300597,15.270688,unknown,southern_angolan,f,ad,nam,UKF008. Samples: skin. COD: unknown [poor browse],
2023-10-08T15:00:00Z,-19.271419,15.180122,natural_predation,southern_angolan,u,ad,nam,skull not found. no samples taken,
2023-12-11T06:39:01Z,-19.296393,15.27354,unknown,southern_angolan,m,ad,nam,UKM001. Hair and skin sample,
2023-12-29T06:45:31Z,-19.32245,15.24347,unknown,southern_angolan,f,ad,nam,UKF017 AMY ossiunit. Skin and hair sample. Ossiunit retrieved.,GCF00214_3461_Amy
2024-04-22T14:27:13Z,-1.38964,35.32694,natural_predation,masai_masai,f,ad,ken,GCF01057_4599 killed by lions,GCF01057_4599
2024-05-13T10:36:27Z,-1.631716,30.654945,natural_predation,masai_masai,f,ad,rwa,"GCF01094_2304, lions killed her along the fence line. GSat tag was still in tact in the ear. Photos taken by rangers, sent by Emma Evers (African Parks RWA), and received by Courtney on 2024-05-20",GCF01094_2304
2024-05-16T05:00:00Z,-16.50162978,12.47715307,unnatural_immobilisation,southern_angolan,u,ad,ago,Death on arrival from translocation (Namibia origin),
2024-02-07T09:00:00Z,-29.656819,30.395683,unnatural_poaching,southern_southafrican,u,u,zaf,https://www.citizen.co.za/network-news/lnn/article/alleged-poachers-nabbed-with-giraffe-meat-at-kzn-nature-reserve/,
2014-03-05T18:00:00Z,-24.00709057,31.05946523,natural_other,southern_southafrican,u,ad,zaf,"Lightning strike, exact location unknown \""game farm outside Phalaborwa\",
2020-02-29T18:30:00Z,-28.3434,23.248,natural_other,southern_southafrican,f,sa,zaf,"Lightning strike, exact location unknown \""game farm outside Phalaborwa\",
2020-02-29T18:30:00Z,-28.3434,23.248,natural_other,southern_southafrican,f,sa,zaf,"Lightning strike, exact location unknown \""game farm outside Phalaborwa\",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
2022-12-31T10:00:00Z,-2.668456806,37.22907462,natural_drought,masai_masai,f,u,ken,"93 giraffe died during the 2022 drought. The deaths occurred mostly outside ANP (91.40%) and were widespread within the dispersal area (Figure 10). 70.97% (n=66) were adults, 29.03% (n=27) young. 31 (33.33%) were females, 13 (13.98%) were males, while majority (52.69%; n=49) were unsexed (Table 2).",
