time,event_type,event_category,state,location.latitude,location.longitude,reported_by.content_type,reported_by.id,reported_by.name,reported_by.subject_type,reported_by.subject_subtype,event_details.herd_size,event_details.herd_notes,event_details.river_system,event_details.image_prefix,giraffe_age,giraffe_sex,giraffe_left,giraffe_right,giraffe_notes,giraffe_id
12-06-23 12:58,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.19319086,12.78595334,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,2,Dam & Calf,khumib,,ad,f,,,KHBF016 | Photo number: 7774,KHBF016
12-06-23 12:58,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.19319086,12.78595334,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,2,Dam & Calf,khumib,,ca,f,,,DamisLinda | Photo number: 7775,KHBF058
13-06-23 11:31,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.09089891,12.72090467,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,2,2 male Giraffe,khumib,,ad,m,7777,,Sanitatas | Photo number: 7776,KHBM056
13-06-23 11:31,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.09089891,12.72090467,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,2,2 male Giraffe,khumib,,ad,m,,,Sanitatas | Photo number: 7778,KHBM066
13-06-23 12:51,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.17241872,12.71824696,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,1,,khumib,,ad,f,7780,7780,KHBF047 | Photo number: 7779,KHBF047
14-06-23 17:39,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.11349183,12.26711128,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,4 Giraffe,khumib,,ad,m,7786,7788,KHBM042-Fergie | Photo number: 7785,KHBM042
14-06-23 17:39,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.11349183,12.26711128,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,4 Giraffe,khumib,,ad,f,,,KHBF022 | Photo number: 7789,KHBF022
14-06-23 17:39,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.11349183,12.26711128,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,4 Giraffe,khumib,,ad,f,,,Pregant-KHBF028 | Photo number: 7794,KHBF028
14-06-23 17:39,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.11349183,12.26711128,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,4 Giraffe,khumib,,ad,m,7796,7797,KHBM053 | Photo number: 7795,KHBM053
16-06-23 11:12,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.26046182,12.63967628,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,1,lone male,khumib,,ad,m,,,Photo number: 7798,KHBM5
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ca,m,,,Photo number: 1805,KHBM090
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ad,f,,,Photo number: 7804,KHBF044
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ad,f,,,Photo number: 7803,KHBF004
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ad,m,,,Photo number: 7802,KHBM088
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,sa,f,,,Photo number: 7801,KHBF060
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ca,,,,KHBM090 | Photo number: 7805,KHBM090
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ad,m,,,KHBM006 | Photo number: 7799,KHBM006
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ca,m,7810,,POSSNcalf | Photo number: 7806,KHBU037
16-06-23 12:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.46393926,12.7454253,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,3 Juveniles and 5 adults,hoarusib,,ad,f,,,KHBF012 | Photo number: 7808,KHBF012
16-06-23 13:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.56704145,12.71647131,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,3,,hoarusib,,ad,f,7812,,KHBF025 | Photo number: 7811,KHBF025
16-06-23 13:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.56704145,12.71647131,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,3,,hoarusib,,ca,m,7823,7824,Photo number: 7818,KHBU038
16-06-23 13:29,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.56704145,12.71647131,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,3,,hoarusib,,ad,f,,,KHBF003-Possdamtocalf | Photo number: 7816,KHBF003
16-06-23 14:04,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.59692861,12.70356775,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,,hoarusib,,ad,f,,,KHBF035-AAG(7832-7839) | Photo number: 7831,KHBF035
16-06-23 14:04,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.59692861,12.70356775,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,,hoarusib,,ad,m,7828,,KHBM068 | Photo number: 7827,KHBM068
16-06-23 14:04,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.59692861,12.70356775,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,,hoarusib,,ad,f,,,Photo number: 7836,KHBF036
16-06-23 14:04,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.59692861,12.70356775,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,4,,hoarusib,,ad,m,,,KHBM008 | Photo number: 7840,KHBM008
16-06-23 14:42,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.62602331,12.67830663,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,1,lone Female,hoarusib,,ad,f,,,KHBF010 | Photo number: 7841,KHBF010
16-06-23 14:53,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.65465065,12.65791972,observations.subject,7bf4de82-f0af-43f3-bd39-e63e10270e8f,Audi Shaanika,person,ranger,1,,hoarusib,,ad,m,,,KHBM010-Douglas | Photo number: 7842,KHBM010
