Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AE,ZA,,,3,skulls,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AE,ZA,,,1,trophies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AO,ZW,,,2,bones,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AR,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AT,NA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AT,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AU,ZA,,,1,trophies,,H,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AU,ZA,,,7,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AU,ZW,,,5,skulls,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,AU,ZW,,,1,trophies,,H,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,BE,ZA,,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,BR,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,BW,ZA,,,2,bones,,E,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,CA,ZA,,,1,bones,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,CA,ZW,,,2,skins,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,CN,HU,NA,,2,trophies,,H,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,CN,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,CZ,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,NA,,,1,skins,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,NA,,1,5,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,NE,,,11,specimens,,S,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,ZA,,,1,derivatives,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,ZA,,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DE,ZA,,,10,trophies,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DK,ZA,,,2,trophies,,H,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,DK,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,EE,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,ES,NA,,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,ES,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,ES,ZW,,,7,skins,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,FR,NE,,,19,specimens,,S,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,FR,ZA,,,2,bones,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,FR,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,GB,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,GB,ZA,,,8,trophies,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,NA,,,1,tails,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,NA,,3,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,ZA,ZW,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,ZA,,,1,derivatives,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,ZA,,2,7,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,HU,ZA,,,1,trophies,,P,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,IR,ZA,,,1,derivatives,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,IR,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,IT,ZA,,,1,skins,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,MX,NA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,MX,ZA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,NL,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,NO,ZA,,,5,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,NZ,ZA,,1,,bodies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,NZ,ZA,,,1,trophies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,PK,ZW,,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,PL,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,QA,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,RU,NA,,,4,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,RU,ZA,,,6,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,SE,NA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,SE,ZA,,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,SE,ZA,,,1,trophies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,TH,ZA,,78,78,live,,Z,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,TR,ZA,,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,UA,ZA,ZW,,2,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,FR,,1,,skins,Number of specimens,P,I
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,GB,XX,1,,bones,Number of specimens,P,I
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,ZA,1,,trophies,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,ZW,1,,skins,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,,,2,bones,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,,,1,skulls,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,,2,,trophies,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,NA,,,13,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,BW,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,ZW,,1,bones,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,ZW,,1,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,4,,bone carvings,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,1,,bone carvings,Number of specimens,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,767,,bone carvings,Number of specimens,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,4,bodies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,12,,bones,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,6,,bones,Number of specimens,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,5,bones,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,25,bones,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,6,bones,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,45,live,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,3,,leather products (large),Number of specimens,T,I
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,3,leather products (small),,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,2,skins,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,1,skin pieces,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,5,,skulls,Number of specimens,T,I
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,4,skulls,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,29,,trophies,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,9,trophies,,H,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,75,trophies,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,5,trophies,,P,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,100,trophies,,T,O
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZA,,,11,trophies,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,2,,bone carvings,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,6,,bones,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,6,bones,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,5,,leather products (large),Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,5,leather products (large),,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,8,leather products (large),,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,2,leather products (small),,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,1,,rug,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,2,skins,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,12,,skin pieces,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,1,skin pieces,,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,1,,skulls,Number of specimens,H,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,,4,skulls,,T,W
2019,II,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Giraffa,US,ZW,,12,,trophies,Number of specimens,H,W
