protected_area_name,country,threat_level,permit_ease,logistics_ease,stakeholder_willingness,notes
Réserves naturelles de l'Aïr et du Ténéré,NER,4,5,5,5,Low threats; easy permits; excellent infrastructure; strong support
Réserve de Biosphère de Gadabédji,NER,4,4,3,4,Low threats; moderate permits; decent access; good stakeholder buy-in
Composante Nationale du Niger de la Réserve de Biosphère Transfrontière du W,NER,2,2,3,3,High poaching; difficult permits; moderate access; mixed stakeholder support
Réserve de Biosphère de l'Aïr et Ténéré,NER,3,3,3,3,Moderate threats; moderate permits; improving access; growing support
Parc National du W du W du Niger,NER,3,3,2,4,Moderate threats; moderate permits; remote location; strong local support
Sanctuaire des Addax,NER,4,5,4,5,Low threats; easy permits; good infrastructure; excellent support
Réserve Naturelle Nationale de l'Aïr et du Ténéré,NER,2,3,4,3,High security concerns; moderate permits; good roads; mixed support
Reserve Naturelle Nationale de Kandadji,NER,3,3,3,3,Moderate threats; moderate permits; improving access; moderate support
Réserve Naturelle Nationale deu Termit et Tin-Toumma,NER,3,1,2,2,Moderate threats; very difficult permits; poor logistics; limited support
Réserve Partielle de Faune de Dosso,NER,1,2,5,5,
Réserve Totale de Faune de Tamou,NER,2,3,3,4,
Réserve Totale de Faune de Gadabédji,NER,3,3,3,3,
Complexe Kokorou-Namga,NER,2,4,3,3,
Zone humide du moyen Niger,NER,4,3,2,4,
Lac Tchad,NER,5,3,4,5,
Dallol Bosso,NER,5,4,4,3,
Dallol Maouri,NER,4,5,3,3,
Gueltas et Oasis de l'Aïr,NER,4,4,2,2,
La Mare de Dan Doutchi,NER,4,4,4,1,
La Mare de Lassouri,NER,4,4,4,1,
